R/sigma	V_t(potential)/kT
1.000000000000000000e+00 2.209179894290874913e+00
1.012000000000000011e+00 1.659553367696992909e+00
1.024000000000000021e+00 1.182681069911422744e+00
1.036000000000000032e+00 7.746376834405519496e-01
1.048000000000000043e+00 4.315828448648428850e-01
1.060000000000000053e+00 1.497611448388314059e-01
1.072000000000000064e+00 -7.449787190886897337e-02
1.084000000000000075e+00 -2.447797065755754342e-01
1.096000000000000085e+00 -3.645849062845295530e-01
1.108000000000000096e+00 -4.373290640848976896e-01
1.120000000000000107e+00 -4.663428189517721534e-01
1.132000000000000117e+00 -4.548718557861723966e-01
1.144000000000000128e+00 -4.060769054150430435e-01
1.156000000000000139e+00 -3.230337445912547234e-01
1.168000000000000149e+00 -2.087331959936042924e-01
1.179999999999999938e+00 -6.608112822681722065e-02
1.191999999999999948e+00 1.021015441784639544e-01
1.203999999999999959e+00 2.930788607656621414e-01
1.215999999999999970e+00 5.041998151522762983e-01
1.227999999999999980e+00 7.328983550298808769e-01
1.239999999999999991e+00 9.766933821641232694e-01
1.252000000000000002e+00 1.233188752394726029e+00
1.264000000000000012e+00 1.500073275635483538e+00
1.276000000000000023e+00 1.775120715874268340e+00
1.288000000000000034e+00 2.056189791173022918e+00
1.300000000000000044e+00 2.341224173667765029e+00
1.312000000000000055e+00 2.628252489568589034e+00
1.324000000000000066e+00 2.915388319159658792e+00
1.336000000000000076e+00 3.200830196799215877e+00
1.348000000000000087e+00 3.482861610919575135e+00
1.360000000000000098e+00 3.759851004027123800e+00
1.372000000000000108e+00 4.030251772702325930e+00
1.384000000000000119e+00 4.292602267599717081e+00
1.396000000000000130e+00 4.545525793447908747e+00
1.408000000000000140e+00 4.787730609049585695e+00
1.420000000000000151e+00 5.018009927281506855e+00
1.431999999999999940e+00 5.235241915094500875e+00
1.443999999999999950e+00 5.438389693513483891e+00
1.455999999999999961e+00 5.626501337637431988e+00
1.467999999999999972e+00 5.798709876639400740e+00
1.479999999999999982e+00 5.954233293766518997e+00
1.491999999999999993e+00 6.092374526339990659e+00
1.504000000000000004e+00 6.212521465755092898e+00
1.516000000000000014e+00 6.314146957481177935e+00
1.528000000000000025e+00 6.396808801061670380e+00
1.540000000000000036e+00 6.460149750114070777e+00
1.552000000000000046e+00 6.503897512329952058e+00
1.564000000000000057e+00 6.527864749474963091e+00
1.576000000000000068e+00 6.531949077388823355e+00
1.588000000000000078e+00 6.516133065985330930e+00
1.600000000000000089e+00 6.480484239252357170e+00
1.612000000000000099e+00 6.425155075251843151e+00
1.624000000000000110e+00 6.350383006119807661e+00
1.636000000000000121e+00 6.256490418066344539e+00
1.648000000000000131e+00 6.143884651375619121e+00
1.660000000000000142e+00 6.013058000405872683e+00
1.672000000000000153e+00 5.864587713589417106e+00
1.684000000000000163e+00 5.699135993432644653e+00
1.696000000000000174e+00 5.517449996516016419e+00
1.708000000000000185e+00 5.320361833494066772e+00
1.720000000000000195e+00 5.108788569095409571e+00
1.732000000000000206e+00 4.883732222122729283e+00
1.744000000000000217e+00 4.646279765452782762e+00
1.756000000000000227e+00 4.397603126036406351e+00
1.768000000000000238e+00 4.138959184898502563e+00
1.780000000000000249e+00 3.871689777138057842e+00
1.792000000000000259e+00 3.597221691928123022e+00
1.804000000000000270e+00 3.317066672515829318e+00
1.816000000000000281e+00 3.032821416222382105e+00
1.828000000000000291e+00 2.746167574443055592e+00
1.840000000000000302e+00 2.458871752647200815e+00
1.852000000000000091e+00 2.172785510378251850e+00
1.864000000000000101e+00 1.889845361253695399e+00
1.876000000000000112e+00 1.612072772965111200e+00
1.888000000000000123e+00 1.341574167278147600e+00
1.900000000000000133e+00 1.080540920032525998e+00
1.912000000000000144e+00 8.312493611420423978e-01
1.924000000000000155e+00 5.960607745945669667e-01
1.936000000000000165e+00 3.774213984520435883e-01
1.948000000000000176e+00 1.778624248504907523e-01
1.960000000000000187e+00 0.000000000000000000e+00
1.972000000000000197e+00 -1.534647758152612451e-01
1.984000000000000208e+00 -2.797458482370533406e-01
1.996000000000000218e+00 -3.759722088330613721e-01
2.008000000000000007e+00 -4.391878950968962081e-01
2.020000000000000462e+00 -4.663519904480978862e-01
2.032000000000000028e+00 -4.543386242321271196e-01
2.044000000000000483e+00 -3.999369717203712371e-01
2.056000000000000050e+00 -2.998512541101537865e-01
2.068000000000000504e+00 -1.507007385247001174e-01
2.080000000000000071e+00 5.098026198680061238e-02
2.092000000000000082e+00 3.087423884492728199e-01
2.104000000000000092e+00 6.262212359616934343e-01
2.116000000000000103e+00 1.007137353697115767e+00
2.128000000000000114e+00 1.455296244902672953e+00
2.140000000000000124e+00 1.974588366899564518e+00
2.152000000000000135e+00 2.568989131083066368e+00
2.164000000000000146e+00 3.242558902922534791e+00
2.176000000000000156e+00 3.999443001961395794e+00
2.188000000000000167e+00 4.843871701817143993e+00
2.200000000000000178e+00 5.780160230181352610e+00
