R/sigma V_t(potential)/kT
1.000000000000000000e+00 2.303972254937079711e+01
1.012000000000000011e+00 2.200219423958841602e+01
1.024000000000000021e+00 2.104318015861434432e+01
1.036000000000000032e+00 2.015875498895497486e+01
1.048000000000000043e+00 1.934507836719076934e+01
1.060000000000000053e+00 1.859839488397625473e+01
1.072000000000000064e+00 1.791503408404005881e+01
1.084000000000000075e+00 1.729141046618484978e+01
1.096000000000000085e+00 1.672402348328740018e+01
1.108000000000000096e+00 1.620945754229853009e+01
1.120000000000000107e+00 1.574438200424315148e+01
1.132000000000000117e+00 1.532555118422025586e+01
1.144000000000000128e+00 1.494980435140288577e+01
1.156000000000000139e+00 1.461406572903817569e+01
1.168000000000000149e+00 1.431534449444732360e+01
1.179999999999999938e+00 1.405073477902561940e+01
1.191999999999999948e+00 1.381741566824240053e+01
1.203999999999999959e+00 1.361265120164109987e+01
1.215999999999999970e+00 1.343379037283921562e+01
1.227999999999999980e+00 1.327826712952832011e+01
1.239999999999999991e+00 1.314360037347406163e+01
1.252000000000000002e+00 1.302739396051616794e+01
1.264000000000000012e+00 1.292733670056842676e+01
1.276000000000000023e+00 1.284120235761871065e+01
1.288000000000000034e+00 1.276684964972896630e+01
1.300000000000000044e+00 1.270222224903520747e+01
1.312000000000000055e+00 1.264534878174753274e+01
1.324000000000000066e+00 1.259434282815010597e+01
1.336000000000000076e+00 1.254740292260116341e+01
1.348000000000000087e+00 1.250281255353302257e+01
1.360000000000000098e+00 1.245894016345207156e+01
1.372000000000000108e+00 1.241423914893877445e+01
1.384000000000000119e+00 1.236724786064766768e+01
1.396000000000000130e+00 1.231658960330735830e+01
1.408000000000000140e+00 1.226097263572053642e+01
1.420000000000000151e+00 1.219919017076395917e+01
1.431999999999999940e+00 1.213012037538845966e+01
1.443999999999999950e+00 1.205272637061894336e+01
1.455999999999999961e+00 1.196605623155439169e+01
1.467999999999999972e+00 1.186924298736786021e+01
1.479999999999999982e+00 1.176150462130648044e+01
1.491999999999999993e+00 1.164214407069145274e+01
1.504000000000000004e+00 1.151054922691805515e+01
1.516000000000000014e+00 1.136619293545564169e+01
1.528000000000000025e+00 1.120863299584763517e+01
1.540000000000000036e+00 1.103751216171153438e+01
1.552000000000000046e+00 1.085255814073891756e+01
1.564000000000000057e+00 1.065358359469542826e+01
1.576000000000000068e+00 1.044048613942078951e+01
1.588000000000000078e+00 1.021324834482879851e+01
1.600000000000000089e+00 9.971937734907326600e+00
1.612000000000000099e+00 9.716706787718312199e+00
1.624000000000000110e+00 9.447792935397776759e+00
1.636000000000000121e+00 9.165518564155815895e+00
1.648000000000000131e+00 8.870291014276590502e+00
1.660000000000000142e+00 8.562602580118346296e+00
1.672000000000000153e+00 8.243030510113390719e+00
1.684000000000000163e+00 7.912237006768120473e+00
1.696000000000000174e+00 7.570969226662993101e+00
1.708000000000000185e+00 7.220059280452544748e+00
1.720000000000000195e+00 6.860424232865388383e+00
1.732000000000000206e+00 6.493066102704209364e+00
1.744000000000000217e+00 6.119071862845763654e+00
1.756000000000000227e+00 5.739613440240887599e+00
1.768000000000000238e+00 5.355947715914484597e+00
1.780000000000000249e+00 4.969416524965541093e+00
1.792000000000000259e+00 4.581446656567107034e+00
1.804000000000000270e+00 4.193549853966314522e+00
1.816000000000000281e+00 3.807322814484368934e+00
1.828000000000000291e+00 3.424447189516542700e+00
1.840000000000000302e+00 3.046689584532189521e+00
1.852000000000000091e+00 2.675901559074743030e+00
1.864000000000000101e+00 2.314019626761687487e+00
1.876000000000000112e+00 1.963065255284603960e+00
1.888000000000000123e+00 1.625144866409141464e+00
1.900000000000000133e+00 1.302449835975020953e+00
1.912000000000000144e+00 9.972564938960383207e-01
1.924000000000000155e+00 7.119261241600639556e-01
1.936000000000000165e+00 4.489049648290415195e-01
1.948000000000000176e+00 2.107242080389897243e-01
1.960000000000000187e+00 0.000000000000000000e+00
1.972000000000000197e+00 -1.805665590037601742e-01
1.984000000000000208e+00 -3.281894146140512114e-01
1.996000000000000218e+00 -4.399975583985581418e-01
2.008000000000000007e+00 -5.130350278508918338e-01
2.020000000000000462e+00 -5.442609063905924360e-01
2.032000000000000028e+00 -5.305493233631206618e-01
2.044000000000000483e+00 -4.686894540398633957e-01
2.056000000000000050e+00 -3.553855196181452403e-01
2.068000000000000504e+00 -1.872567872211897688e-01
2.080000000000000071e+00 3.916243010181119644e-02
2.092000000000000082e+00 3.274227733757845149e-01
2.104000000000000092e+00 6.811598376997062276e-01
2.116000000000000103e+00 1.104094172246629757e+00
2.128000000000000114e+00 1.600031280263687794e+00
2.140000000000000124e+00 2.172861619072080419e+00
2.152000000000000135e+00 2.826560600067083762e+00
2.164000000000000146e+00 3.565188588718052998e+00
2.176000000000000156e+00 4.392890904568415245e+00
2.188000000000000167e+00 5.313897821235665120e+00
2.200000000000000178e+00 6.332524566411374956e+00
