v0/(sigma.kT)	ln(kt)		ln(kt)err
0.000000000000000000e+00 -7.129999999999999893e+00 2.399999999999999911e-01
2.000000000000000000e+00 -6.770000000000000462e+00 2.300000000000000100e-01
4.000000000000000000e+00 -6.709999999999999964e+00 2.200000000000000011e-01
6.000000000000000000e+00 -6.209999999999999964e+00 5.999999999999999778e-02
8.000000000000000000e+00 -6.350000000000000533e+00 1.600000000000000033e-01
1.000000000000000000e+01 -5.650000000000000355e+00 1.000000000000000056e-01
1.200000000000000000e+01 -5.190000000000000391e+00 1.100000000000000006e-01
1.400000000000000000e+01 -4.889999999999999680e+00 4.000000000000000083e-02
1.600000000000000000e+01 -4.509999999999999787e+00 5.999999999999999778e-02
1.800000000000000000e+01 -4.160000000000000142e+00 5.000000000000000278e-02
