v0/(sigma.kT)   Q          Qerr
0.000000000000000000e+00 -7.081000000000000405e+00 1.355895963956771193e-02
2.000000000000000000e+00 -6.932225757484982154e+00 1.366763078153343525e-02
4.000000000000000000e+00 -6.577783047766701863e+00 1.367427115485312511e-02
6.000000000000000000e+00 -6.073668328120191084e+00 1.370872813270345922e-02
8.000000000000000000e+00 -5.362002096728035738e+00 1.368366179004736755e-02
1.000000000000000000e+01 -4.625729608001314830e+00 1.367923866717491582e-02
1.200000000000000000e+01 -4.011780960867392665e+00 1.365373319504205318e-02
1.400000000000000000e+01 -3.213981087165928230e+00 1.361954360900651841e-02
1.600000000000000000e+01 -2.690464837798354658e+00 1.359829250765848783e-02
1.800000000000000000e+01 -2.155286423629514836e+00 1.357429693086351086e-02
