v0/(sigma.kT)   Q          Qerr
0.000000000000000000e+00 4.041095130641333100e+01 5.197838984399090201e-01
2.000000000000000000e+00 4.271007180570222062e+01 5.388577495663788852e-01
4.000000000000000000e+00 5.017726732673273915e+01 5.783875361334397391e-01
6.000000000000000000e+00 6.061484349593501975e+01 6.399302647646278874e-01
8.000000000000000000e+00 7.670665423351165657e+01 6.044457373329940042e-01
1.000000000000000000e+01 9.025153217237280501e+01 5.461927076649488733e-01
1.200000000000000000e+01 1.064379052250191080e+02 5.063590397326651615e-01
1.400000000000000000e+01 1.204341268756703158e+02 4.825940436690315249e-01
1.600000000000000000e+01 1.325970620431747022e+02 3.829505769844878116e-01
1.800000000000000000e+01 1.448193047659622437e+02 3.491998800876057185e-01
