v0/(sigma.kT)   ln(kt)          ln(kt)err
0.000000000000000000e+00 -7.139437569467141032e+00 1.005545869601647962e-01
2.000000000000000000e+00 -6.837607703664971837e+00 2.270144810255505796e-01
4.000000000000000000e+00 -6.777843133242370754e+00 1.741175832608025664e-01
6.000000000000000000e+00 -6.426992075100840474e+00 2.377913156653986837e-01
8.000000000000000000e+00 -6.276143786326631613e+00 1.884996139132608939e-01
1.000000000000000000e+01 -5.351059389246718645e+00 2.925875755882190732e-01
1.200000000000000000e+01 -5.379407376114480499e+00 2.045674466426490590e-01
1.400000000000000000e+01 -4.789874494682762496e+00 2.463599762422486461e-01
1.600000000000000000e+01 -4.459313012164476397e+00 2.255870997927755528e-01
1.800000000000000000e+01 -3.955064342138106426e+00 2.347309464222976649e-01
