x_i     y_i     theta_i
1.352660135806981634e+00 9.367581382912871790e-01 -1.120905481386636495e+02
1.935854985251671614e-02 -5.648370343352463463e-01 9.309298107867242322e+01
-2.907355621144159574e+00 4.961705927530940308e+00 2.619451864291529475e+01
3.523035567704768667e+00 3.425201375958437100e-01 7.596749870961308204e+01
-5.747537858751345041e+00 4.242705761484031335e+00 -9.797224576461999845e+01
-4.766081500189521591e+00 -5.681472270549932091e+00 -8.966754942708669773e+01
1.804936424543037932e+00 -2.814591793524225505e+00 -4.818437196896370622e+00
1.893370387862859383e+00 3.976491439201126354e+00 -5.139995382501756893e+01
-4.842699155841424741e+00 4.807237531986007006e+00 5.782142486864542974e+01
2.735842969857079865e+00 1.685935959101494630e+00 1.149248123031303663e+02
-2.847741009431599579e+00 -2.395980410211677736e+00 4.726427882894838461e+01
1.081786346743841998e+00 -3.578548365241776885e+00 1.318886251063849784e+02
4.461110124747564853e+00 2.695679230273350768e+00 -1.744116953913361456e+01
3.756423336456426565e+00 1.320646341626879217e+00 4.696094069057914311e+01
2.924424360454055183e+00 3.918884615745499733e+00 4.367235528804238953e+01
2.743001351456368364e-01 5.198406942347992832e-01 -1.260654406101672862e+02
3.857940185556127943e+00 3.541219845970263957e+00 -2.385413598262317691e+01
-1.020835241761836709e+00 -4.027317650744827837e+00 9.408569997069888302e+01
3.128662077971813837e-01 1.585921113810294658e+00 8.043672277023819106e+01
-5.102529895273670846e+00 -2.816333569942563120e+00 4.133591675625409323e+01
-4.013316433406802552e+00 -2.287821611701331026e+00 -2.145644898296762193e+00
-7.453871892837105051e-01 2.914544067913353298e-01 -1.266576041720793597e+02
-1.848247212509199322e+00 -9.671270706758657854e-01 -5.218422915301803755e+01
3.753221309690988328e+00 -5.026675463482221495e+00 -1.118751176307708732e+02
8.680439703654174721e-01 -2.219811084968563275e+00 4.623744251261480542e+01
-3.547462427190505529e+00 -3.240879635277403636e+00 1.100657268163742089e+02
9.261844093563285085e-01 3.608458358763245055e+00 -1.240166036872244177e+02
-4.574631142428006392e+00 1.514519362450472695e+00 -6.562111238332425955e+01
2.866706519977809453e+00 -2.923059274540652286e+00 1.484349994535915229e+01
-5.234335390802912436e+00 2.593357074360528536e+00 -1.138276277311459594e+01
-2.135299462061996500e+00 -3.611449627399641482e+00 -1.814347382814149796e+02
1.756943534727989586e+00 -5.444391849724939725e+00 3.420883999973129619e+01
-4.171594425828979991e-01 3.973109755020352019e+00 -1.359872318452697737e+00
-4.275940512062354593e+00 2.821661989273303917e+00 1.852751601794296050e+02
-5.725226639975596221e+00 5.390532858443037867e+00 1.314191537016626796e+02
4.148668874700829790e+00 -3.072250881864901917e+00 -3.530760925484924151e+00
1.070581256925640767e+00 -1.255655678213825344e-01 6.467516779973604457e+01
-1.960221164748331690e-01 -2.011284232875469868e+00 -8.437601127744648322e-01
-7.768964489807267393e-01 -1.194551418625318773e+00 3.074333186207924484e+01
7.778413474887365675e-01 -5.694387957189811722e+00 6.411969731235063819e+01
8.392091775871017845e-01 -1.141734677014580202e+00 6.598801900812482302e+01
-3.325891399276048155e+00 -5.643685757201304387e-01 1.341598861917170460e+01
1.950207277682344920e+00 -6.632010284854897852e-01 -3.536326912507560039e+00
-3.285411869591586598e+00 2.314588227166962664e+00 9.289472831198871461e+00
4.500433836747367522e+00 4.462109373469409501e-01 2.040502488221684985e+02
4.741620492279742471e+00 -4.144805019857624728e+00 7.940714138503464881e+01
1.021614638858893365e+00 4.763262073841562305e+00 -1.137189979774113624e+02
-5.429113090212907444e+00 -4.809235877743540222e+00 1.890586798638882371e+01
-1.904868042556634888e+00 4.993113550848290672e+00 -3.331687257971017146e+01
-1.654341944612593984e+00 -2.708200738354327175e+00 2.268953719925030654e+01
5.187527109349165499e+00 -5.337254061656437898e+00 -6.856690191174349991e+01
-5.030607304685007719e+00 -2.702267552389310823e-01 6.491497376508955597e+01
-3.587705722671674646e+00 7.397363580883722367e-01 5.077530949016924211e+01
-4.210677240363641438e+00 4.000430289709976606e+00 -6.199397032939299379e+01
2.700754068356968851e+00 -4.887542371563056598e+00 -5.275324272845378459e+01
1.826372613737929251e+00 2.617599170797466179e+00 1.946974600018486656e+00
-3.427461502128095194e+00 3.393904660657331540e+00 -2.347854319347452368e+00
2.066034369025629758e+00 -3.909421981727265738e+00 -4.916237615589707843e+01
-1.056306398307565786e+00 5.523525999026517752e+00 1.335238740850325314e+02
6.840513231758051926e-01 -4.591926826832320785e+00 4.403188802079552744e+01
-3.836648220250077568e+00 -4.965695100519391225e+00 -6.650934625375913356e+01
-2.497245645496625421e+00 3.880970147600954601e+00 -9.526862246933622824e-01
