Estimator	Indicator	Action	Conditioned_action	ratebound	s*distance^2_of_endpoint_from_1.85
      -0.7276E+02       0.1000E+01      -0.7276E+02      -0.7276E+02      -0.7276E+02       0.0000E+00
      -0.7736E+02       0.1000E+01      -0.7736E+02      -0.7736E+02      -0.7736E+02       0.0000E+00
      -0.6887E+02       0.1000E+01      -0.6887E+02      -0.6887E+02      -0.6887E+02       0.0000E+00
      -0.7841E+02       0.1000E+01      -0.7841E+02      -0.7841E+02      -0.7841E+02       0.0000E+00
      -0.7272E+02       0.1000E+01      -0.7272E+02      -0.7272E+02      -0.7272E+02       0.0000E+00
      -0.6776E+02       0.1000E+01      -0.6776E+02      -0.6776E+02      -0.6776E+02       0.0000E+00
      -0.7084E+02       0.1000E+01      -0.7084E+02      -0.7084E+02      -0.7084E+02       0.0000E+00
      -0.7844E+02       0.1000E+01      -0.7844E+02      -0.7844E+02      -0.7844E+02       0.0000E+00
      -0.7726E+02       0.1000E+01      -0.7726E+02      -0.7726E+02      -0.7726E+02       0.0000E+00
      -0.6919E+02       0.1000E+01      -0.6919E+02      -0.6919E+02      -0.6919E+02       0.0000E+00
      -0.7959E+02       0.1000E+01      -0.7959E+02      -0.7959E+02      -0.7959E+02       0.0000E+00
      -0.7246E+02       0.1000E+01      -0.7246E+02      -0.7246E+02      -0.7246E+02       0.0000E+00
      -0.8366E+02       0.1000E+01      -0.8366E+02      -0.8366E+02      -0.8366E+02       0.0000E+00
      -0.7901E+02       0.1000E+01      -0.7901E+02      -0.7901E+02      -0.7901E+02       0.0000E+00
      -0.6981E+02       0.1000E+01      -0.6981E+02      -0.6981E+02      -0.6981E+02       0.0000E+00
      -0.6226E+02       0.1000E+01      -0.6226E+02      -0.6226E+02      -0.6226E+02       0.0000E+00
      -0.6616E+02       0.1000E+01      -0.6616E+02      -0.6616E+02      -0.6616E+02       0.0000E+00
      -0.6932E+02       0.1000E+01      -0.6932E+02      -0.6932E+02      -0.6932E+02       0.0000E+00
      -0.6640E+02       0.1000E+01      -0.6640E+02      -0.6640E+02      -0.6640E+02       0.0000E+00
      -0.7979E+02       0.1000E+01      -0.7979E+02      -0.7979E+02      -0.7979E+02       0.0000E+00
      -0.5961E+02       0.1000E+01      -0.5961E+02      -0.5961E+02      -0.5961E+02       0.0000E+00
      -0.6400E+02       0.1000E+01      -0.6400E+02      -0.6400E+02      -0.6400E+02       0.0000E+00
      -0.8653E+02       0.1000E+01      -0.8653E+02      -0.8653E+02      -0.8653E+02       0.0000E+00
      -0.6584E+02       0.1000E+01      -0.6584E+02      -0.6584E+02      -0.6584E+02       0.0000E+00
      -0.6653E+02       0.1000E+01      -0.6653E+02      -0.6653E+02      -0.6653E+02       0.0000E+00
      -0.7574E+02       0.1000E+01      -0.7574E+02      -0.7574E+02      -0.7574E+02       0.0000E+00
      -0.7603E+02       0.1000E+01      -0.7603E+02      -0.7603E+02      -0.7603E+02       0.0000E+00
      -0.6917E+02       0.1000E+01      -0.6917E+02      -0.6917E+02      -0.6917E+02       0.0000E+00
      -0.8207E+02       0.1000E+01      -0.8207E+02      -0.8207E+02      -0.8207E+02       0.0000E+00
      -0.7801E+02       0.1000E+01      -0.7801E+02      -0.7801E+02      -0.7801E+02       0.0000E+00
      -0.1224E+03       0.9750E+00      -0.5988E+02      -0.6084E+02      -0.6086E+02      -0.1082E+01
      -0.6505E+02       0.1000E+01      -0.6505E+02      -0.6505E+02      -0.6505E+02       0.0000E+00
      -0.7140E+02       0.1000E+01      -0.7140E+02      -0.7140E+02      -0.7140E+02       0.0000E+00
      -0.7029E+02       0.1000E+01      -0.7029E+02      -0.7029E+02      -0.7029E+02       0.0000E+00
      -0.7035E+02       0.1000E+01      -0.7035E+02      -0.7035E+02      -0.7035E+02       0.0000E+00
      -0.6945E+02       0.1000E+01      -0.6945E+02      -0.6945E+02      -0.6945E+02       0.0000E+00
      -0.7257E+02       0.1000E+01      -0.7257E+02      -0.7257E+02      -0.7257E+02       0.0000E+00
      -0.6829E+02       0.1000E+01      -0.6829E+02      -0.6829E+02      -0.6829E+02       0.0000E+00
      -0.6776E+02       0.1000E+01      -0.6776E+02      -0.6776E+02      -0.6776E+02       0.0000E+00
      -0.1366E+03       0.9750E+00      -0.7411E+02      -0.7554E+02      -0.7557E+02      -0.9799E+00
      -0.7880E+02       0.1000E+01      -0.7880E+02      -0.7880E+02      -0.7880E+02       0.0000E+00
      -0.5542E+02       0.1000E+01      -0.5542E+02      -0.5542E+02      -0.5542E+02       0.0000E+00
      -0.7788E+02       0.1000E+01      -0.7788E+02      -0.7788E+02      -0.7788E+02       0.0000E+00
      -0.6724E+02       0.1000E+01      -0.6724E+02      -0.6724E+02      -0.6724E+02       0.0000E+00
      -0.7598E+02       0.1000E+01      -0.7598E+02      -0.7598E+02      -0.7598E+02       0.0000E+00
      -0.6976E+02       0.1000E+01      -0.6976E+02      -0.6976E+02      -0.6976E+02       0.0000E+00
      -0.7631E+02       0.1000E+01      -0.7631E+02      -0.7631E+02      -0.7631E+02       0.0000E+00
      -0.6874E+02       0.1000E+01      -0.6874E+02      -0.6874E+02      -0.6874E+02       0.0000E+00
      -0.7383E+02       0.1000E+01      -0.7383E+02      -0.7383E+02      -0.7383E+02       0.0000E+00
      -0.6663E+02       0.1000E+01      -0.6663E+02      -0.6663E+02      -0.6663E+02       0.0000E+00
      -0.7463E+02       0.1000E+01      -0.7463E+02      -0.7463E+02      -0.7463E+02       0.0000E+00
      -0.6353E+02       0.1000E+01      -0.6353E+02      -0.6353E+02      -0.6353E+02       0.0000E+00
      -0.6525E+02       0.1000E+01      -0.6525E+02      -0.6525E+02      -0.6525E+02       0.0000E+00
      -0.6984E+02       0.1000E+01      -0.6984E+02      -0.6984E+02      -0.6984E+02       0.0000E+00
      -0.1363E+03       0.9750E+00      -0.7379E+02      -0.7501E+02      -0.7504E+02      -0.1418E+02
      -0.6348E+02       0.1000E+01      -0.6348E+02      -0.6348E+02      -0.6348E+02       0.0000E+00
      -0.6955E+02       0.1000E+01      -0.6955E+02      -0.6955E+02      -0.6955E+02       0.0000E+00
      -0.6819E+02       0.1000E+01      -0.6819E+02      -0.6819E+02      -0.6819E+02       0.0000E+00
      -0.1480E+03       0.9750E+00      -0.8552E+02      -0.8727E+02      -0.8730E+02      -0.1966E+00
      -0.6120E+02       0.1000E+01      -0.6120E+02      -0.6120E+02      -0.6120E+02       0.0000E+00
      -0.5932E+02       0.1000E+01      -0.5932E+02      -0.5932E+02      -0.5932E+02       0.0000E+00
      -0.7687E+02       0.1000E+01      -0.7687E+02      -0.7687E+02      -0.7687E+02       0.0000E+00
      -0.1305E+03       0.9750E+00      -0.6802E+02      -0.6920E+02      -0.6922E+02      -0.7317E+01
      -0.7177E+02       0.1000E+01      -0.7177E+02      -0.7177E+02      -0.7177E+02       0.0000E+00
      -0.6912E+02       0.1000E+01      -0.6912E+02      -0.6912E+02      -0.6912E+02       0.0000E+00
      -0.6110E+02       0.1000E+01      -0.6110E+02      -0.6110E+02      -0.6110E+02       0.0000E+00
      -0.8200E+02       0.1000E+01      -0.8200E+02      -0.8200E+02      -0.8200E+02       0.0000E+00
      -0.7715E+02       0.1000E+01      -0.7715E+02      -0.7715E+02      -0.7715E+02       0.0000E+00
      -0.7268E+02       0.1000E+01      -0.7268E+02      -0.7268E+02      -0.7268E+02       0.0000E+00
      -0.7410E+02       0.1000E+01      -0.7410E+02      -0.7410E+02      -0.7410E+02       0.0000E+00
      -0.7742E+02       0.1000E+01      -0.7742E+02      -0.7742E+02      -0.7742E+02       0.0000E+00
      -0.7038E+02       0.1000E+01      -0.7038E+02      -0.7038E+02      -0.7038E+02       0.0000E+00
      -0.8005E+02       0.1000E+01      -0.8005E+02      -0.8005E+02      -0.8005E+02       0.0000E+00
      -0.7409E+02       0.1000E+01      -0.7409E+02      -0.7409E+02      -0.7409E+02       0.0000E+00
      -0.7453E+02       0.1000E+01      -0.7453E+02      -0.7453E+02      -0.7453E+02       0.0000E+00
      -0.6667E+02       0.1000E+01      -0.6667E+02      -0.6667E+02      -0.6667E+02       0.0000E+00
      -0.7111E+02       0.1000E+01      -0.7111E+02      -0.7111E+02      -0.7111E+02       0.0000E+00
      -0.8343E+02       0.1000E+01      -0.8343E+02      -0.8343E+02      -0.8343E+02       0.0000E+00
      -0.1281E+03       0.9750E+00      -0.6555E+02      -0.6698E+02      -0.6700E+02      -0.1115E+02
      -0.6261E+02       0.1000E+01      -0.6261E+02      -0.6261E+02      -0.6261E+02       0.0000E+00
      -0.7609E+02       0.1000E+01      -0.7609E+02      -0.7609E+02      -0.7609E+02       0.0000E+00
      -0.7262E+02       0.1000E+01      -0.7262E+02      -0.7262E+02      -0.7262E+02       0.0000E+00
      -0.6616E+02       0.1000E+01      -0.6616E+02      -0.6616E+02      -0.6616E+02       0.0000E+00
      -0.7149E+02       0.1000E+01      -0.7149E+02      -0.7149E+02      -0.7149E+02       0.0000E+00
      -0.6243E+02       0.1000E+01      -0.6243E+02      -0.6243E+02      -0.6243E+02       0.0000E+00
      -0.1316E+03       0.9750E+00      -0.6912E+02      -0.6993E+02      -0.6996E+02      -0.9215E-01
      -0.6879E+02       0.1000E+01      -0.6879E+02      -0.6879E+02      -0.6879E+02       0.0000E+00
      -0.6977E+02       0.1000E+01      -0.6977E+02      -0.6977E+02      -0.6977E+02       0.0000E+00
      -0.7708E+02       0.1000E+01      -0.7708E+02      -0.7708E+02      -0.7708E+02       0.0000E+00
      -0.6805E+02       0.1000E+01      -0.6805E+02      -0.6805E+02      -0.6805E+02       0.0000E+00
      -0.6294E+02       0.1000E+01      -0.6294E+02      -0.6294E+02      -0.6294E+02       0.0000E+00
      -0.7873E+02       0.1000E+01      -0.7873E+02      -0.7873E+02      -0.7873E+02       0.0000E+00
      -0.6780E+02       0.1000E+01      -0.6780E+02      -0.6780E+02      -0.6780E+02       0.0000E+00
      -0.6674E+02       0.1000E+01      -0.6674E+02      -0.6674E+02      -0.6674E+02       0.0000E+00
      -0.7909E+02       0.1000E+01      -0.7909E+02      -0.7909E+02      -0.7909E+02       0.0000E+00
      -0.7309E+02       0.1000E+01      -0.7309E+02      -0.7309E+02      -0.7309E+02       0.0000E+00
      -0.7801E+02       0.1000E+01      -0.7801E+02      -0.7801E+02      -0.7801E+02       0.0000E+00
      -0.7018E+02       0.1000E+01      -0.7018E+02      -0.7018E+02      -0.7018E+02       0.0000E+00
      -0.7755E+02       0.1000E+01      -0.7755E+02      -0.7755E+02      -0.7755E+02       0.0000E+00
      -0.7366E+02       0.1000E+01      -0.7366E+02      -0.7366E+02      -0.7366E+02       0.0000E+00
      -0.7880E+02       0.1000E+01      -0.7880E+02      -0.7880E+02      -0.7880E+02       0.0000E+00
