\DeltaU		P(\DeltaU)	
-3.972500000000000142e+01 0.000000000000000000e+00
-3.917499999999999716e+01 0.000000000000000000e+00
-3.862500000000000000e+01 0.000000000000000000e+00
-3.807500000000000284e+01 0.000000000000000000e+00
-3.752499999999999858e+01 0.000000000000000000e+00
-3.697500000000000142e+01 0.000000000000000000e+00
-3.642499999999999716e+01 0.000000000000000000e+00
-3.587500000000000000e+01 0.000000000000000000e+00
-3.532500000000000284e+01 0.000000000000000000e+00
-3.477499999999999858e+01 0.000000000000000000e+00
-3.422500000000000142e+01 0.000000000000000000e+00
-3.367499999999999716e+01 0.000000000000000000e+00
-3.312500000000000000e+01 0.000000000000000000e+00
-3.257500000000000284e+01 0.000000000000000000e+00
-3.202499999999999858e+01 0.000000000000000000e+00
-3.147500000000000142e+01 0.000000000000000000e+00
-3.092499999999999716e+01 0.000000000000000000e+00
-3.037500000000000000e+01 0.000000000000000000e+00
-2.982499999999999929e+01 0.000000000000000000e+00
-2.927499999999999858e+01 0.000000000000000000e+00
-2.872500000000000142e+01 0.000000000000000000e+00
-2.817499999999999716e+01 0.000000000000000000e+00
-2.762500000000000000e+01 0.000000000000000000e+00
-2.707499999999999929e+01 0.000000000000000000e+00
-2.652499999999999858e+01 0.000000000000000000e+00
-2.597500000000000142e+01 0.000000000000000000e+00
-2.542499999999999716e+01 0.000000000000000000e+00
-2.487500000000000000e+01 0.000000000000000000e+00
-2.432499999999999574e+01 0.000000000000000000e+00
-2.377499999999999858e+01 0.000000000000000000e+00
-2.322500000000000142e+01 0.000000000000000000e+00
-2.267499999999999716e+01 0.000000000000000000e+00
-2.212500000000000000e+01 0.000000000000000000e+00
-2.157499999999999574e+01 0.000000000000000000e+00
-2.102499999999999858e+01 0.000000000000000000e+00
-2.047500000000000142e+01 0.000000000000000000e+00
-1.992499999999999716e+01 0.000000000000000000e+00
-1.937500000000000000e+01 0.000000000000000000e+00
-1.882499999999999574e+01 0.000000000000000000e+00
-1.827499999999999858e+01 0.000000000000000000e+00
-1.772500000000000142e+01 0.000000000000000000e+00
-1.717499999999999716e+01 0.000000000000000000e+00
-1.662500000000000000e+01 0.000000000000000000e+00
-1.607499999999999574e+01 0.000000000000000000e+00
-1.552499999999999680e+01 0.000000000000000000e+00
-1.497499999999999787e+01 0.000000000000000000e+00
-1.442499999999999893e+01 0.000000000000000000e+00
-1.387499999999999822e+01 0.000000000000000000e+00
-1.332499999999999751e+01 0.000000000000000000e+00
-1.277499999999999680e+01 0.000000000000000000e+00
-1.222499999999999787e+01 0.000000000000000000e+00
-1.167499999999999893e+01 0.000000000000000000e+00
-1.112499999999999822e+01 0.000000000000000000e+00
-1.057499999999999751e+01 0.000000000000000000e+00
-1.002499999999999680e+01 0.000000000000000000e+00
-9.474999999999996092e+00 0.000000000000000000e+00
-8.924999999999997158e+00 0.000000000000000000e+00
-8.374999999999998224e+00 0.000000000000000000e+00
-7.824999999999997513e+00 0.000000000000000000e+00
-7.274999999999998579e+00 0.000000000000000000e+00
-6.724999999999997868e+00 0.000000000000000000e+00
-6.174999999999997158e+00 0.000000000000000000e+00
-5.624999999999996447e+00 0.000000000000000000e+00
-5.074999999999995737e+00 2.908992567675595334e-04
-4.524999999999998579e+00 0.000000000000000000e+00
-3.974999999999997868e+00 3.873278033887296470e-04
-3.424999999999997158e+00 4.469374054404414267e-04
-2.874999999999996447e+00 1.289302256604029349e-04
-2.324999999999995737e+00 1.859656731177093431e-04
-1.774999999999998579e+00 1.502100037795591988e-04
-1.224999999999997868e+00 1.114246712544013021e-04
-6.749999999999971578e-01 1.428587621154126549e-04
-1.249999999999964473e-01 1.380574123204094197e-04
4.250000000000042633e-01 1.319611039171176875e-04
9.750000000000014211e-01 1.323787589129561042e-04
1.525000000000002132e+00 1.559176401148904467e-04
2.075000000000002842e+00 1.675842213910074690e-04
2.625000000000003553e+00 1.659761345918534209e-04
3.175000000000004263e+00 1.669718245546542078e-04
3.725000000000001421e+00 1.671052596938105844e-04
4.275000000000002132e+00 1.722299807037101424e-04
4.825000000000002842e+00 1.629326666737367145e-04
5.375000000000003553e+00 1.569259161726115504e-04
5.925000000000004263e+00 1.409745942500082870e-04
6.475000000000004974e+00 1.192558427099300861e-04
7.025000000000005684e+00 9.315245909289079733e-05
7.575000000000002842e+00 6.405665898068224878e-05
8.125000000000003553e+00 3.995333107707684786e-05
8.675000000000004263e+00 2.304702906305000271e-05
9.225000000000004974e+00 1.260491898169200680e-05
9.775000000000005684e+00 6.748022379173776847e-06
1.032500000000000284e+01 3.454428069708675178e-06
1.087500000000000355e+01 1.755982272555560084e-06
1.142500000000000426e+01 8.987253576809876431e-07
1.197500000000000497e+01 4.522711019394187079e-07
1.252500000000000568e+01 2.276661835657257854e-07
1.307500000000000284e+01 1.166479852638170391e-07
