\DeltaU		P(\DeltaU)
-3.972500000000000142e+01 0.000000000000000000e+00
-3.862500000000000000e+01 1.533512208172268754e-06
-3.752499999999999858e+01 3.067024416344537509e-06
-3.642499999999999716e+01 1.533512208172248637e-06
-3.532500000000000284e+01 6.134048832688994550e-06
-3.422500000000000142e+01 0.000000000000000000e+00
-3.312500000000000000e+01 0.000000000000000000e+00
-3.202499999999999858e+01 3.067024416344537509e-06
-3.092499999999999716e+01 0.000000000000000000e+00
-2.982499999999999929e+01 0.000000000000000000e+00
-2.872500000000000142e+01 1.533512208172258802e-06
-2.762500000000000000e+01 3.067024416344537509e-06
-2.652499999999999858e+01 3.067024416344537509e-06
-2.542499999999999716e+01 7.667561040861293797e-06
-2.432499999999999574e+01 1.533512208172258802e-06
-2.322500000000000142e+01 7.667561040861293797e-06
-2.212500000000000000e+01 6.134048832689035207e-06
-2.102499999999999858e+01 3.067024416344537509e-06
-1.992499999999999716e+01 6.134048832689035207e-06
-1.882499999999999574e+01 7.667561040861293797e-06
-1.772500000000000142e+01 1.533512208172258759e-05
-1.662500000000000000e+01 1.380160987355032646e-05
-1.552499999999999680e+01 1.073458545720580928e-05
-1.442499999999999893e+01 2.453619533075614083e-05
-1.332499999999999751e+01 2.606970753892839688e-05
-1.222499999999999787e+01 2.606970753892856628e-05
-1.112499999999999822e+01 2.913673195527291914e-05
-1.002499999999999680e+01 2.453619533075614083e-05
-8.924999999999997158e+00 3.527078078796217034e-05
-7.824999999999997513e+00 3.987131741247871826e-05
-6.724999999999997868e+00 4.140482962065072020e-05
-5.624999999999996447e+00 5.980697611871770470e-05
-4.524999999999998579e+00 7.054156157592434068e-05
-3.424999999999997158e+00 8.434317144947476371e-05
-2.324999999999995737e+00 1.119463911965755827e-04
-1.224999999999997868e+00 8.894370807399042394e-05
-1.249999999999964473e-01 1.119463911965741461e-04
9.750000000000014211e-01 1.196139522374369408e-04
2.075000000000002842e+00 1.165469278210924084e-04
3.175000000000004263e+00 1.548847330253991315e-04
4.275000000000002132e+00 1.196139522374354094e-04
5.375000000000003553e+00 1.518177086090526204e-04
6.475000000000004974e+00 1.073458545720574288e-04
7.575000000000002842e+00 5.673995170237393799e-05
8.675000000000004263e+00 1.840214649806722167e-05
9.775000000000005684e+00 6.134048832689075018e-06
1.087500000000000355e+01 0.000000000000000000e+00
1.197500000000000497e+01 0.000000000000000000e+00
1.307500000000000284e+01 0.000000000000000000e+00
1.417500000000000426e+01 0.000000000000000000e+00
1.527500000000000568e+01 0.000000000000000000e+00
1.637500000000000355e+01 0.000000000000000000e+00
1.747500000000000497e+01 0.000000000000000000e+00
1.857500000000000284e+01 0.000000000000000000e+00
1.967500000000000426e+01 0.000000000000000000e+00
2.077500000000000568e+01 0.000000000000000000e+00
2.187500000000000711e+01 0.000000000000000000e+00
2.297500000000000497e+01 0.000000000000000000e+00
2.407500000000000639e+01 0.000000000000000000e+00
2.517500000000000426e+01 0.000000000000000000e+00
2.627500000000000568e+01 0.000000000000000000e+00
2.737500000000000711e+01 0.000000000000000000e+00
2.847500000000000142e+01 0.000000000000000000e+00
2.957500000000000995e+01 0.000000000000000000e+00
3.067500000000000426e+01 0.000000000000000000e+00
3.177500000000000568e+01 0.000000000000000000e+00
3.287500000000000711e+01 0.000000000000000000e+00
3.397500000000000142e+01 0.000000000000000000e+00
3.507500000000000995e+01 0.000000000000000000e+00
3.617500000000000426e+01 0.000000000000000000e+00
3.727500000000000568e+01 0.000000000000000000e+00
3.837500000000000711e+01 0.000000000000000000e+00
3.947500000000000142e+01 0.000000000000000000e+00
4.057500000000000995e+01 0.000000000000000000e+00
4.167500000000000426e+01 0.000000000000000000e+00
4.277500000000000568e+01 0.000000000000000000e+00
4.387500000000000711e+01 0.000000000000000000e+00
4.497500000000000142e+01 0.000000000000000000e+00
4.607500000000000995e+01 0.000000000000000000e+00
4.717500000000000426e+01 0.000000000000000000e+00
4.827500000000000568e+01 0.000000000000000000e+00
4.937500000000000711e+01 0.000000000000000000e+00
5.047500000000000853e+01 0.000000000000000000e+00
5.157500000000000995e+01 0.000000000000000000e+00
5.267500000000000426e+01 0.000000000000000000e+00
5.377500000000001279e+01 0.000000000000000000e+00
5.487500000000000711e+01 0.000000000000000000e+00
5.597500000000000853e+01 0.000000000000000000e+00
5.707500000000000995e+01 0.000000000000000000e+00
5.817500000000000426e+01 0.000000000000000000e+00
5.927500000000001279e+01 0.000000000000000000e+00
6.037500000000000711e+01 0.000000000000000000e+00
6.147500000000000853e+01 0.000000000000000000e+00
6.257500000000000995e+01 0.000000000000000000e+00
6.367500000000000426e+01 0.000000000000000000e+00
6.477500000000000568e+01 0.000000000000000000e+00
6.587500000000000000e+01 0.000000000000000000e+00
6.697500000000000853e+01 0.000000000000000000e+00
6.807500000000001705e+01 0.000000000000000000e+00
6.917500000000001137e+01 0.000000000000000000e+00
